census_fips,population
593200,"3,931"
593300,"3,541"
594000,"2,532"
594100,"4,387"
594200,"2,520"
594300,"3,141"
594400,"2,857"
594500,"3,082"
595000,"3,790"
595100,"5,527"
595200,"3,164"
596100,"3,670"
596200,"4,321"
596300,"2,797"
597000,"4,997"
598000,"3,240"
599000,"5,274"
599100,"5,247"
981700,0
981800,0
981900,0
981900,0
982000,20
982100,7
982100,11
982200,9
982300,25
982300,0
982400,99
982500,0
982600,7
982700,11
982900,0
983100,0
983200,0
983300,0
983300,0
983400,256
983600,9
983700,0
983800,0
983900,6
983900,0
983900,0
984100,4
984200,0
985000,19
985100,154
985200,3
985300,220
985400,16
985500,0
985600,0
985700,0
985800,0
985900,0
986100,3
986200,0
986300,29
986400,50
986500,0
986500,0
986600,0
987000,7
990100,0
990200,0
