,FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,med_income,crime_ct,log_reviews,log_business_ct,log_pop,log_crimes
142,550800,1635.0,277900.0,0.848814,436,4.0,0.2552118989033741,7,178816,,6.077642243349034,1.9459101490553132,7.399398083331354,
145,503200,3002.0,69100.0,-0.914727,4042,4.1000000000000005,0.2918419040304809,27,54091,121.0,8.304494897963567,3.295836866004329,8.007034012193408,4.795790545596741
146,516800,569.0,50200.0,-1.393979,3031,4.3136363636363635,0.25043135209363965,22,36667,35.0,8.016647877057803,3.091042453358316,6.343880434126331,3.5553480614894135
147,504100,1173.0,65900.0,-1.209391,1287,3.993333333333333,0.170044532612354,15,35730,83.0,7.160069207596127,2.70805020110221,7.067319848653476,4.418840607796598
149,537800,1545.0,39800.0,-0.966035,3423,4.196969696969697,0.23325906165139107,33,24375,34.0,8.138272638530186,3.4965075614664802,7.3427791893318455,3.5263605246161616
151,584100,1822.0,107700.0,0.123504,11900,4.391489361702128,0.37563079367609664,47,62083,,9.38429367909962,3.8501476017100584,7.507690077819904,
152,551800,3759.0,170200.0,0.589876,5633,4.4904761904761905,0.393615122114011,42,111250,,8.636397438894713,3.7376696182833684,8.231908243564177,
154,579900,5789.0,247800.0,0.173338,36806,4.043506493506494,0.2346316300426049,154,64375,,10.51341615434514,5.0369526024136295,8.663714844079005,
156,511300,2231.0,41800.0,-1.200831,1241,4.184615384615385,0.21965125336170746,13,38950,41.0,7.123672785204607,2.5649493574615367,7.7102051944325325,3.713572066704308
158,506200,1814.0,68600.0,-1.140022,2087,4.185714285714286,0.2802355125946768,21,26492,83.0,7.643482907077201,3.044522437723423,7.503289630675082,4.418840607796598
159,507200,1003.0,52300.0,-1.244824,2782,4.0,0.24281865752390594,9,39175,26.0,7.930925372483388,2.1972245773362196,6.910750787961936,3.258096538021482
162,555100,4697.0,102000.0,0.121691,2693,4.0,0.26690449205720457,16,70652,,7.898411092811599,2.772588722239781,8.454679286026995,
163,520300,2622.0,214100.0,-0.442925,38243,4.444897959183674,0.3697456073328503,98,78388,48.0,10.551715815970995,4.584967478670572,7.871692664323645,3.871201010907891
164,506800,3904.0,80600.0,-0.804353,10522,4.113636363636363,0.24111009152133753,44,43382,78.0,9.261223582290752,3.784189633918261,8.269756947532983,4.356708826689592
165,541200,2046.0,65200.0,-1.008247,4664,4.1000000000000005,0.2450382393877952,24,20742,31.0,8.447628728030327,3.1780538303479458,7.6236419465115715,3.4339872044851463
166,544300,2428.0,72600.0,-0.801954,2442,4.081818181818182,0.25108499791749633,22,38588,41.0,7.80057265467065,3.091042453358316,7.794823152179389,3.713572066704308
167,547200,3982.0,,,6070,3.8767441860465115,0.19965301397575447,43,25643,141.0,8.711113884053544,3.7612001156935624,8.289539484624141,4.948759890378168
168,539400,3707.0,105700.0,-0.437932,4009,4.110714285714286,0.252498036162706,28,43333,68.0,8.296297112642508,3.332204510175204,8.217978203150732,4.219507705176107
169,544200,2005.0,70400.0,-1.102514,1344,4.514285714285714,0.23568815093782444,7,24570,49.0,7.203405521083095,1.9459101490553132,7.60339933974067,3.8918202981106265
170,532100,2162.0,,,1847,4.0,0.206559569857748,9,45694,32.0,7.52131798019924,2.1972245773362196,7.6787889981991535,3.4657359027997265
173,538900,3465.0,89900.0,-0.302637,6502,4.348648648648648,0.3581552303486955,37,54196,52.0,8.779865100863852,3.6109179126442243,8.150467911624004,3.9512437185814275
174,504300,1834.0,64200.0,-0.929081,548,4.1625,0.2077645005197715,8,33646,81.0,6.306275286948016,2.0794415416798357,7.51425465281641,4.394449154672439
175,542500,2475.0,124900.0,0.195047,2508,4.0928571428571425,0.27804421211081953,14,67019,35.0,7.827240901752812,2.6390573296152584,7.813995675002791,3.5553480614894135
178,554300,5157.0,90100.0,0.16749,1403,4.05,0.28306928899062167,14,57045,,7.246368080102461,2.6390573296152584,8.548110294050959,
179,559800,2891.0,,,5830,4.006818181818182,0.23088607846694237,44,14231,2.0,8.670772279344538,3.784189633918261,7.969357742016346,0.6931471805599453
180,538700,3823.0,87200.0,-0.646153,9335,4.174358974358975,0.25746086474327046,39,36139,90.0,9.141526055975824,3.6635616461296463,8.248790733696413,4.499809670330265
181,501600,1955.0,75800.0,-0.632116,6672,4.0181818181818185,0.2578922517000203,55,43712,57.0,8.805674944038582,4.007333185232471,7.578145472419466,4.04305126783455
182,534100,1691.0,81200.0,-1.028174,4077,4.0,0.217049663107395,15,20694,59.0,8.313116702819253,2.70805020110221,7.43307534889858,4.07753744390572
183,532600,2068.0,98100.0,-0.991057,1740,4.044444444444444,0.2020536422612604,18,42098,59.0,7.461640392208575,2.8903717578961645,7.63433723562832,4.07753744390572
184,519200,1440.0,,,3940,4.285714285714286,0.26444241461173357,28,25729,65.0,8.27893600229198,3.332204510175204,7.272398392570047,4.174387269895637
185,581600,5811.0,125500.0,0.274822,11290,4.128333333333333,0.29172928631016776,60,69926,,9.331672657143708,4.0943445622221,8.667507952075105,
187,570100,4107.0,97300.0,-0.219408,2577,4.0,0.25682580240352826,23,48599,,7.854381210652365,3.1354942159291497,8.320448113956559,
193,521500,1354.0,36700.0,-0.844764,15521,4.189285714285714,0.2665990411616263,28,44250,64.0,9.649949224651184,3.332204510175204,7.21081845347222,4.1588830833596715
194,579800,1494.0,54900.0,-0.916881,1699,4.096296296296296,0.2259209570360595,27,46685,,7.4377951216719325,3.295836866004329,7.309212365692763,
197,577100,3251.0,79800.0,-0.484148,5704,4.294117647058823,0.2830759208846474,34,34428,,8.648922962094131,3.5263605246161616,8.086717920303906,
198,539600,3197.0,87300.0,-0.526951,3201,4.118181818181818,0.20449698023293206,22,66012,55.0,8.071218539969863,3.091042453358316,8.069968149059841,4.007333185232471
199,535800,3944.0,,,4212,4.061702127659575,0.20021455509694255,47,22776,103.0,8.345692873253865,3.8501476017100584,8.279950715722526,4.634728988229636
200,576300,2383.0,129000.0,0.30583,2324,4.328571428571429,0.42492524792385694,21,88173,,7.751045117971802,3.044522437723423,7.776115477098742,
201,541300,2664.0,80900.0,-0.775784,6771,4.126315789473685,0.29379850034116967,38,39853,54.0,8.820404065485645,3.6375861597263857,7.88758403166028,3.9889840465642745
202,571700,2758.0,109000.0,-0.142162,4957,4.161904761904762,0.3112874285363213,21,39402,,8.508555998020574,3.044522437723423,7.922261058353247,
203,572000,2213.0,112400.0,0.166988,3237,4.3566666666666665,0.41189880503374215,30,59327,,8.082402253926244,3.4011973816621555,7.70210434005105,
204,500600,2692.0,75000.0,-0.652763,3298,4.05,0.20164159524071276,20,42009,91.0,8.101071503119543,2.995732273553991,7.898039690764619,4.51085950651685
207,578600,6443.0,78600.0,-0.411546,10858,4.215662650602409,0.3014189989021781,83,34303,,9.292657414465397,4.418840607796598,8.770749549138642,
208,513800,2367.0,,,3521,3.9,0.25282202260244396,20,26283,87.0,8.166500319155052,2.995732273553991,7.769378609513984,4.465908118654584
209,575000,4702.0,133500.0,0.227377,2960,4.276,0.38793968074438895,50,82917,,7.992944547318106,3.912023005428146,8.455743229100015,
210,505200,2943.0,78600.0,-1.012398,870,3.788888888888889,0.11524748594297234,9,37287,68.0,6.76849321164863,2.1972245773362196,7.987184748233473,4.219507705176107
